type,subject,category,person,the
queer,agender,identity,y,y
queer,bigender,identity,y,y
queer,gender non-conforming,identity,y,y
queer,genderfluid,identity,y,y
queer,genderless,identity,y,y
queer,genderqueer,identity,y,y
queer,non-binary,identity,y,y
queer,polygender,identity,y,y
queer,trans,identity,y,y
queer,transgender,identity,y,y
queer,transman,identity,n,y
queer,transwoman,identity,n,y
queer,xenogender,identity,y,y
queer,pangender,identity,y,y
queer,demigender,identity,y,y
queer,ace,orientation,y,y
queer,aro,orientation,y,y
queer,aromantic,orientation,y,y
queer,asexual,orientation,y,y
queer,biromantic,orientation,y,y
queer,bisexual,orientation,y,y
queer,demisexual,orientation,y,y
queer,gay,orientation,y,y
queer,homoromantic,orientation,y,y
queer,homosexual,orientation,y,y
queer,lesbian,orientation,y,y
queer,panromantic,orientation,y,y
queer,pansexual,orientation,y,y
queer,bi,orientation,y,y
queer,demi,orientation,y,y
queer,pan,orientation,y,y
queer,intersexual,other,y,y
queer,androgyne,other,y,y
queer,queer,other,y,y
non-queer,binary,identity,y,y
non-queer,cisgender,identity,y,y
non-queer,gender conforming,identity,y,y
non-queer,nonqueer,other,y,y
non-queer,cis,identity,y,y
non-queer,heteroromantic,orientation,y,y
non-queer,heterosexual,orientation,y,y
non-queer,straight,orientation,y,y
non-queer,ally,other,n,y
non-queer,man,identity,n,y
non-queer,woman,identity,n,y
non-queer,boy,identity,n,y
non-queer,girl,identity,n,y
neutral,person,general,n,y
neutral,participant,general,n,y
neutral,traveler,general,n,y
neutral,visitor,general,n,y
neutral,tenant,general,n,y
neutral,voter,general,n,y
neutral,fan,general,n,y
neutral,friend,societal,n,n
neutral,colleague,societal,n,n
neutral,neighbor,societal,n,n
neutral,classmate,societal,n,n
