Model,type,Diversity,CI,STD
BERT Base,Unmarked,99.0,0.0,0.0
BERT Base,Non Queer,100.0,0.0,0.0
BERT Base,Queer,100.0,0.0,0.0
BERT Large,Unmarked,100.0,0.0,0.0
BERT Large,Non Queer,100.0,0.0,0.0
BERT Large,Queer,100.0,0.0,0.0
RoBERTa Base,Unmarked,100.0,0.0,0.0
RoBERTa Base,Non Queer,100.0,0.0,0.0
RoBERTa Base,Queer,100.0,0.0,0.0
RoBERTa Large,Unmarked,100.0,0.0,0.0
RoBERTa Large,Non Queer,100.0,0.0,0.0
RoBERTa Large,Queer,100.0,0.0,0.0
DeepSeek R1 671B,Unmarked,92.0,0.0,0.0
DeepSeek R1 671B,Non Queer,90.0,0.0,0.0
DeepSeek R1 671B,Queer,89.0,0.0,0.0
DeepSeek R1 8B,Unmarked,100.0,0.0,0.0
DeepSeek R1 8B,Non Queer,100.0,0.0,0.0
DeepSeek R1 8B,Queer,100.0,0.0,0.0
Gemma 3 27B,Unmarked,80.0,0.0,0.0
Gemma 3 27B,Non Queer,76.0,0.0,0.0
Gemma 3 27B,Queer,71.0,0.0,0.0
Gemma 3 4B,Unmarked,92.0,0.0,0.0
Gemma 3 4B,Non Queer,89.0,0.0,0.0
Gemma 3 4B,Queer,86.0,0.0,0.0
Llama 3 70B,Unmarked,88.0,0.0,0.0
Llama 3 70B,Non Queer,85.0,0.0,0.0
Llama 3 70B,Queer,84.0,0.0,0.0
Llama 3 8B,Unmarked,90.0,0.0,0.0
Llama 3 8B,Non Queer,85.0,0.0,0.0
Llama 3 8B,Queer,84.0,0.0,0.0
GPT-4o,Unmarked,96.0,0.0,0.0
GPT-4o,Non Queer,96.0,0.0,0.0
GPT-4o,Queer,97.0,0.0,0.0
GPT-4o Mini,Unmarked,89.0,0.0,0.0
GPT-4o Mini,Non Queer,91.0,0.0,0.0
GPT-4o Mini,Queer,94.0,0.0,0.0
Gemini 2.0 Flash,Unmarked,95.0,0.0,0.0
Gemini 2.0 Flash,Non Queer,92.0,0.0,0.0
Gemini 2.0 Flash,Queer,86.0,0.0,0.0
Gemini 2.0 Flash Lite,Unmarked,79.0,0.0,0.0
Gemini 2.0 Flash Lite,Non Queer,92.0,0.0,0.0
Gemini 2.0 Flash Lite,Queer,88.0,0.0,0.0
