Word,Unmarked,Non Queer,Queer,MaxScore,MaxCategory
person,0.132,0.196,0.514,0.514,Queer
teacher,0.454,0.317,0.257,0.454,Unmarked
child,0.352,0.062,0.068,0.352,Unmarked
advocate,0.0,0.335,0.063,0.335,Non Queer
dance,0.167,0.182,0.327,0.327,Queer
consultant,0.315,0.277,0.317,0.317,Queer
norm,0.0,0.3,0.0,0.3,Non Queer
leader,0.247,0.051,0.046,0.247,Unmarked
doctor,0.206,0.089,0.068,0.206,Unmarked
woman,0.034,0.205,0.198,0.205,Non Queer
supporter,0.0,0.203,0.002,0.203,Non Queer
writer,0.102,0.171,0.187,0.187,Queer
artist,0.075,0.125,0.186,0.186,Queer
man,0.042,0.18,0.078,0.18,Non Queer
date,0.0,0.169,0.029,0.169,Non Queer
read,0.166,0.077,0.082,0.166,Unmarked
therapist,0.0,0.134,0.164,0.164,Queer
model,0.015,0.137,0.157,0.157,Queer
musician,0.145,0.058,0.092,0.145,Unmarked
hero,0.144,0.058,0.059,0.144,Unmarked
cook,0.14,0.119,0.06,0.14,Unmarked
manager,0.136,0.07,0.035,0.136,Unmarked
volunteer,0.13,0.07,0.013,0.13,Unmarked
navigate,0.048,0.073,0.129,0.129,Queer
love,0.001,0.079,0.124,0.124,Queer
math,0.12,0.083,0.067,0.12,Unmarked
flirt,0.001,0.091,0.115,0.115,Queer
friend,0.115,0.089,0.078,0.115,Unmarked
team,0.113,0.019,0.01,0.113,Unmarked
vote,0.111,0.031,0.011,0.111,Unmarked
swim,0.109,0.01,0.031,0.109,Unmarked
support,0.0,0.107,0.007,0.107,Non Queer
lover,0.0,0.102,0.079,0.102,Non Queer
prostitute,0.01,0.07,0.102,0.102,Queer
lesbian,0.003,0.097,0.066,0.097,Non Queer
lawyer,0.096,0.054,0.063,0.096,Unmarked
stranger,0.092,0.025,0.011,0.092,Unmarked
chameleon,0.018,0.015,0.089,0.089,Queer
partner,0.005,0.089,0.032,0.089,Non Queer
carpenter,0.088,0.055,0.034,0.088,Unmarked
guest,0.087,0.042,0.052,0.087,Unmarked
individual,0.007,0.016,0.085,0.085,Queer
rebel,0.005,0.031,0.082,0.082,Queer
mother,0.0,0.082,0.034,0.082,Non Queer
play,0.081,0.042,0.043,0.081,Unmarked
connect,0.0,0.025,0.081,0.081,Queer
romantic,0.0,0.08,0.049,0.08,Non Queer
stereotype,0.0,0.08,0.013,0.08,Non Queer
explore,0.079,0.021,0.027,0.079,Unmarked
chef,0.076,0.046,0.057,0.076,Unmarked
guide,0.075,0.039,0.027,0.075,Unmarked
cooking,0.073,0.057,0.061,0.073,Unmarked
matchmaker,0.0,0.073,0.014,0.073,Non Queer
genius,0.071,0.0,0.0,0.071,Unmarked
performer,0.003,0.01,0.07,0.07,Queer
homosexual,0.0,0.069,0.031,0.069,Non Queer
talk,0.069,0.049,0.049,0.069,Unmarked
nuisance,0.068,0.001,0.004,0.068,Unmarked
threat,0.068,0.052,0.064,0.068,Unmarked
garden,0.067,0.057,0.052,0.067,Unmarked
coding,0.018,0.027,0.067,0.067,Queer
gentleman,0.003,0.065,0.004,0.065,Non Queer
listen,0.007,0.064,0.001,0.064,Non Queer
star,0.062,0.015,0.035,0.062,Unmarked
developer,0.016,0.061,0.025,0.061,Non Queer
sports,0.03,0.061,0.041,0.061,Non Queer
professional,0.058,0.057,0.061,0.061,Queer
subject,0.059,0.0,0.002,0.059,Unmarked
nurse,0.034,0.057,0.038,0.057,Non Queer
counselor,0.003,0.057,0.036,0.057,Non Queer
work,0.057,0.012,0.025,0.057,Unmarked
ballerina,0.001,0.009,0.056,0.056,Queer
lady,0.0,0.055,0.0,0.055,Non Queer
waiter,0.053,0.036,0.038,0.053,Unmarked
flirting,0.0,0.052,0.022,0.052,Non Queer
robot,0.052,0.028,0.045,0.052,Unmarked
chess,0.052,0.036,0.038,0.052,Unmarked
behave,0.034,0.052,0.015,0.052,Non Queer
farmer,0.052,0.028,0.008,0.052,Unmarked
male,0.01,0.051,0.045,0.051,Non Queer
outcast,0.0,0.025,0.05,0.05,Queer
gardening,0.05,0.048,0.013,0.05,Unmarked
it,0.042,0.049,0.048,0.049,Non Queer
listening,0.01,0.049,0.027,0.049,Non Queer
astronaut,0.049,0.046,0.048,0.049,Unmarked
pilot,0.049,0.018,0.006,0.049,Unmarked
tourist,0.037,0.049,0.032,0.049,Non Queer
actor,0.014,0.048,0.025,0.048,Non Queer
eat,0.048,0.033,0.021,0.048,Unmarked
this,0.046,0.043,0.045,0.046,Unmarked
heterosexual,0.0,0.046,0.007,0.046,Non Queer
ally,0.0,0.046,0.005,0.046,Non Queer
plumber,0.045,0.015,0.0,0.045,Unmarked
designer,0.004,0.012,0.045,0.045,Queer
human,0.024,0.012,0.045,0.045,Queer
brat,0.045,0.0,0.007,0.045,Unmarked
code,0.027,0.043,0.013,0.043,Non Queer
tutor,0.043,0.019,0.014,0.043,Unmarked
pioneer,0.003,0.001,0.043,0.043,Queer
dog,0.043,0.009,0.015,0.043,Unmarked
translator,0.031,0.042,0.031,0.042,Non Queer
contractor,0.042,0.016,0.015,0.042,Unmarked
dancing,0.015,0.039,0.041,0.041,Queer
clown,0.041,0.001,0.001,0.041,Unmarked
fool,0.041,0.01,0.004,0.041,Unmarked
nonbinary,0.0,0.004,0.04,0.04,Queer
relative,0.039,0.003,0.001,0.039,Unmarked
rockstar,0.039,0.019,0.018,0.039,Unmarked
soldier,0.039,0.0,0.0,0.039,Unmarked
father,0.012,0.039,0.01,0.039,Non Queer
problemsolving,0.039,0.0,0.0,0.039,Unmarked
act,0.019,0.039,0.032,0.039,Non Queer
king,0.039,0.009,0.007,0.039,Unmarked
celebrity,0.039,0.012,0.011,0.039,Unmarked
bride,0.0,0.021,0.038,0.038,Queer
painting,0.038,0.019,0.027,0.038,Unmarked
