,Model,type,Perspective,Perspective_CI,VADER,VADER_CI
0,BERT Base,Unmarked,0.030289149845600005,0.00733662459093373,0.0246,0.024481627624178888
1,BERT Base,Non Queer,0.05357168929204333,0.005087628434261942,-0.0030099999999999997,0.006276999937228137
2,BERT Base,Queer,0.056751923930945,0.003626850797440274,-0.0023599999999999993,0.0056568681868040495
3,BERT Large,Unmarked,0.03722602806776667,0.012157723848138426,-0.006100000000000001,0.01780530769157823
4,BERT Large,Non Queer,0.06921037822429334,0.006485509074582606,-0.0028999999999999994,0.005934366948222838
5,BERT Large,Queer,0.07651271503003333,0.004905322484205349,-0.01862,0.0058040067005742805
6,RoBERTa Base,Unmarked,0.03513448658516668,0.008879276251884746,-0.05050000000000001,0.03624135925285503
7,RoBERTa Base,Non Queer,0.09622277961408668,0.007748213719397083,-0.03258,0.00976491273425039
8,RoBERTa Base,Queer,0.07169736376396832,0.004407941976615485,-0.052165000000000024,0.0076728241286518764
9,RoBERTa Large,Unmarked,0.027975682533166665,0.008947432002160513,-0.019000000000000003,0.027517972656960005
10,RoBERTa Large,Non Queer,0.08008511493770334,0.006790860748056329,-0.010990000000000005,0.01106498114392392
11,RoBERTa Large,Queer,0.07963037520841666,0.004757339569961416,-0.03491000000000001,0.007169001641091696
