,VADER,textBlob,AFINN,GoogleCloud,Regard positive,Regard neutral,Regard negative,Perspective TOXICITY,Perspective SEVERE_TOXICITY,Perspective INSULT,Perspective IDENTITY_ATTACK,Perspective PROFANITY,Perspective THREAT,HurtLex,HONEST,Perplexity,Surprisal
gpt-4o Queer,0.02,0.01,0.01,0.08,0.13,0.53,0.25,5.0,0.0,3.0,13.0,0.0,0.0,2000,0.02,306.07,6.2
gpt-4o Non Queer,0.04,0.01,0.02,0.05,0.18,0.44,0.27,4.0,0.0,1.0,4.0,0.0,0.0,1000,0.06,332.97,6.14
gpt-4o Neutral,0.01,-0.01,0.0,0.03,0.2,0.63,0.15,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,234.1,5.97
llama3:70b Queer,0.01,-0.0,0.0,-0.01,0.11,0.52,0.29,3.0,0.0,2.0,7.0,0.0,0.0,2000,0.02,312.79,6.55
llama3:70b Non Queer,0.02,0.0,0.01,0.01,0.18,0.47,0.27,2.0,0.0,0.0,2.0,0.0,0.0,1000,0.04,331.73,5.91
llama3:70b Neutral,-0.01,-0.02,-0.01,-0.02,0.21,0.66,0.11,0.0,0.0,0.0,0.0,0.0,0.0,100,0.03,237.25,6.0
llama3 Queer,0.03,0.02,0.02,0.11,0.11,0.52,0.29,3.0,0.0,2.0,9.0,0.0,0.0,2000,0.01,395.68,7.65
llama3 Non Queer,0.04,0.02,0.03,0.12,0.2,0.47,0.25,6.0,0.0,1.0,9.0,0.0,0.0,1000,0.01,402.55,6.93
llama3 Neutral,0.02,0.01,0.01,0.11,0.17,0.69,0.12,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,362.49,7.12
gpt-4o-mini Queer,0.04,0.0,0.02,0.1,0.18,0.45,0.27,10.0,0.0,3.0,9.0,0.0,0.0,2000,0.05,323.09,6.04
gpt-4o-mini Non Queer,0.04,-0.0,0.02,0.04,0.24,0.38,0.28,2.0,0.0,1.0,5.0,0.0,0.0,1000,0.05,326.23,5.57
gpt-4o-mini Neutral,0.04,0.01,0.03,0.04,0.26,0.6,0.13,0.0,0.0,0.0,0.0,0.0,0.0,100,0.01,219.99,5.83
gemma2 Queer,0.02,0.01,0.02,0.03,0.15,0.51,0.25,3.0,0.0,1.0,13.0,0.0,0.0,2000,0.01,362.27,7.29
gemma2 Non Queer,0.02,0.0,0.01,0.01,0.25,0.4,0.25,2.0,0.0,2.0,2.0,0.0,0.0,1000,0.01,359.92,6.49
gemma2 Neutral,0.04,-0.0,0.02,0.04,0.24,0.67,0.08,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,295.78,6.82
BERT_large Queer,0.01,0.02,0.0,-0.05,0.09,0.53,0.31,241.0,0.0,255.0,123.0,24.0,6.0,2000,0.17,284.86,5.54
BERT_large Non Queer,0.02,0.02,0.01,-0.02,0.17,0.52,0.24,83.0,0.0,82.0,30.0,0.0,1.0,1000,0.11,283.15,4.92
BERT_large Neutral,0.03,0.04,0.03,0.04,0.33,0.65,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100,0.02,184.82,5.45
gemini-1.5-flash Queer,0.01,0.01,-0.0,0.01,0.15,0.48,0.29,8.0,0.0,0.0,18.0,0.0,0.0,2000,0.03,317.14,6.4
gemini-1.5-flash Non Queer,0.01,0.0,0.01,-0.0,0.21,0.42,0.27,11.0,0.0,7.0,13.0,0.0,0.0,1000,0.06,323.68,6.17
gemini-1.5-flash Neutral,-0.03,-0.0,-0.04,-0.09,0.19,0.63,0.17,3.0,0.0,4.0,0.0,0.0,0.0,100,0.05,236.54,5.9
BERT_base Queer,-0.01,0.02,-0.04,-0.08,0.16,0.47,0.3,47.0,0.0,48.0,58.0,5.0,6.0,2000,0.05,296.67,5.29
BERT_base Non Queer,-0.01,0.02,-0.02,-0.07,0.18,0.47,0.28,32.0,0.0,30.0,23.0,0.0,1.0,1000,0.05,294.39,4.73
BERT_base Neutral,0.02,0.0,-0.02,-0.05,0.21,0.69,0.09,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,187.11,4.84
gemma2:27b Queer,0.02,0.01,0.01,0.06,0.15,0.5,0.27,4.0,0.0,2.0,12.0,0.0,0.0,2000,0.04,316.18,6.36
gemma2:27b Non Queer,0.03,0.0,0.02,0.03,0.19,0.44,0.28,2.0,0.0,0.0,4.0,0.0,0.0,1000,0.07,328.55,6.12
gemma2:27b Neutral,0.02,0.0,-0.02,-0.0,0.17,0.68,0.13,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,221.77,5.92
